     -90. 0.034743 0.422944  2.744956
     -91. 0.035320 0.423447  2.473310
     -92. 0.035875 0.423616  2.198519
     -93. 0.036448 0.423437  1.925904
     -94. 0.036998 0.422907  1.651986
     -95. 0.037539 0.422029  1.375202
     -96. 0.038087 0.420814  1.100367
     -97. 0.038553 0.419275  0.822584
     -98. 0.039143 0.417442  0.544506
     -99. 0.039585 0.415346  0.264711
    -100. 0.040060 0.413027  6.266956
    -101. 0.040563 0.410536  5.985688
    -102. 0.040965 0.407930  5.701364
    -103. 0.041378 0.405267  5.415881
    -104. 0.041769 0.402617  5.131018
    -105. 0.042123 0.400045  4.840797
    -106. 0.042452 0.397622  4.551914
    -107. 0.042723 0.395420  4.261027
    -108. 0.043031 0.393500  3.968155
    -109. 0.043249 0.391923  3.674428
    -110. 0.043416 0.390745  3.380493
    -111. 0.043647 0.390002  3.085035
    -112. 0.043729 0.389723  2.789963
    -113. 0.043839 0.389928  2.493786
    -114. 0.043884 0.390609  2.199192
    -115. 0.043921 0.391752  1.904455
    -116. 0.043877 0.393330  1.609206
    -117. 0.043813 0.395291  1.317899
    -118. 0.043722 0.397578  1.025381
    -119. 0.043578 0.400130  0.734987
    -120. 0.043371 0.402861  0.447076
    -121. 0.043149 0.405698  0.159956
    -122. 0.042919 0.408558  6.158158
    -123. 0.042547 0.411355  5.874683
    -124. 0.042243 0.414014  5.593477
    -125. 0.041862 0.416464  5.313939
    -126. 0.041410 0.418631  5.034954
    -127. 0.040986 0.420467  4.758684
    -128. 0.040489 0.421922  4.484421
    -129. 0.039999 0.422956  4.208630
    -130. 0.039446 0.423548  3.937664
    -131. 0.038882 0.423683  3.665559
    -132. 0.038348 0.423356  3.394753
    -133. 0.037717 0.422583  3.125180
    -134. 0.037082 0.421384  2.856121
    -135. 0.036557 0.419790  2.588072
    -136. 0.035826 0.417852  2.319154
    -137. 0.035247 0.415622  2.052141
    -138. 0.034618 0.413162  1.785462
    -139. 0.033971 0.410549  1.517486
    -140. 0.033369 0.407850  1.251447
    -141. 0.032735 0.405144  0.986205
    -142. 0.032159 0.402514  0.718926
    -143. 0.031582 0.400026  0.454737
    -144. 0.030976 0.397756  0.189631
    -145. 0.030524 0.395771  6.208465
    -146. 0.029974 0.394122  5.944708
    -147. 0.029516 0.392859  5.681937
    -148. 0.029143 0.392020  5.420341
    -149. 0.028757 0.391619  5.159753
    -150. 0.028439 0.391670  4.898470
    -151. 0.028196 0.392163  4.643354
    -152. 0.028004 0.393073  4.383571
    -153. 0.027847 0.394366  4.128736
    -154. 0.027779 0.395997  3.875545
    -155. 0.027761 0.397901  3.620706
    -156. 0.027830 0.400023  3.369102
    -157. 0.027889 0.402290  3.118191
    -158. 0.028109 0.404636  2.867242
    -159. 0.028326 0.406997  2.617262
    -160. 0.028570 0.409309  2.367246
    -161. 0.028934 0.411517  2.118103
    -162. 0.029296 0.413573  1.868245
    -163. 0.029677 0.415433  1.616552
    -164. 0.030136 0.417061  1.367707
    -165. 0.030607 0.418434  1.114864
    -166. 0.031076 0.419526  0.861377
    -167. 0.031603 0.420325  0.609110
    -168. 0.032105 0.420822  0.353109
    -169. 0.032685 0.421012  0.096313
    -170. 0.033174 0.420898  6.122100
    -171. 0.033761 0.420490  5.862830
    -172. 0.034329 0.419794  5.601078
    -173. 0.034841 0.418830  5.339386
    -174. 0.035432 0.417621  5.074105
    -175. 0.035987 0.416191  4.809866
    -176. 0.036526 0.414569  4.540508
    -177. 0.037079 0.412792  4.272474
    -178. 0.037635 0.410892  4.002579
    -179. 0.038174 0.408908  3.728614
    -180. 0.038702 0.406877  3.456247
    -181. 0.039217 0.404836  3.181573
    -182. 0.039795 0.402821  2.903632
    -183. 0.040246 0.400871  2.627347
    -184. 0.040779 0.399021  2.347565
    -185. 0.041316 0.397307  2.068190
    -186. 0.041765 0.395764  1.786699
    -187. 0.042244 0.394425  1.504700
    -188. 0.042759 0.393322  1.223200
    -189. 0.043148 0.392484  0.938280
    -190. 0.043632 0.391935  0.655038
    -191. 0.044007 0.391696  0.370833
    -192. 0.044446 0.391784  0.085106
    -193. 0.044820 0.392205  6.083227
    -194. 0.045159 0.392963  5.798142
    -195. 0.045586 0.394053  5.512131
    -196. 0.045893 0.395460  5.227245
    -197. 0.046214 0.397163  4.941734
    -198. 0.046592 0.399136  4.658233
    -199. 0.046877 0.401336  4.373452
    -200. 0.047170 0.403725  4.090394
    -201. 0.047493 0.406252  3.808915
    -202. 0.047750 0.408860  3.526545
    -203. 0.048042 0.411493  3.246403
    -204. 0.048262 0.414094  2.966906
    -205. 0.048528 0.416595  2.688246
    -206. 0.048776 0.418940  2.409885
    -207. 0.048920 0.421074  2.133317
    -208. 0.049181 0.422937  1.856791
    -209. 0.049333 0.424482  1.580904
    -210. 0.049475 0.425668  1.305262
    -211. 0.049617 0.426453  1.030395
    -212. 0.049754 0.426813  0.755647
    -213. 0.049808 0.426730  0.479151
    -214. 0.049888 0.426189  0.205170
    -215. 0.049927 0.425197  6.211614
    -216. 0.049952 0.423762  5.934486
    -217. 0.049920 0.421904  5.657582
    -218. 0.049889 0.419659  5.378617
    -219. 0.049864 0.417071  5.098497
    -220. 0.049721 0.414186  4.817813
    -221. 0.049622 0.411078  4.534313
    -222. 0.049488 0.407813  4.251182
    -223. 0.049275 0.404469  3.963819
    -224. 0.049067 0.401142  3.676818
    -225. 0.048819 0.397918  3.387908
    -226. 0.048525 0.394887  3.095604
    -227. 0.048213 0.392148  2.803974
    -228. 0.047795 0.389779  2.510266
    -229. 0.047476 0.387854  2.214449
    -230. 0.046954 0.386442  1.919191
    -231. 0.046481 0.385583  1.622468
    -232. 0.045996 0.385302  1.326077
    -233. 0.045385 0.385617  1.029123
    -234. 0.044790 0.386505  0.732677
    -235. 0.044183 0.387940  0.438846
    -236. 0.043484 0.389880  0.143067
    -237. 0.042808 0.392253  6.134674
    -238. 0.042049 0.394987  5.844326
    -239. 0.041314 0.398002  5.555240
    -240. 0.040534 0.401200  5.268836
    -241. 0.039654 0.404493  4.985243
    -242. 0.038894 0.407791  4.703616
    -243. 0.037982 0.411000  4.423883
    -244. 0.037085 0.414046  4.147571
    -245. 0.036230 0.416855  3.873355
    -246. 0.035277 0.419359  3.601423
    -247. 0.034358 0.421512  3.331039
    -248. 0.033412 0.423273  3.065344
    -249. 0.032474 0.424606  2.799388
    -250. 0.031516 0.425501  2.536060
    -251. 0.030559 0.425948  2.276564
    -252. 0.029607 0.425945  2.017013
    -253. 0.028717 0.425509  1.760219
    -254. 0.027735 0.424662  1.505412
    -255. 0.026895 0.423428  1.252821
    -256. 0.026038 0.421854  1.001685
    -257. 0.025186 0.419976  0.752150
    -258. 0.024437 0.417848  0.505521
    -259. 0.023734 0.415531  0.261964
    -260. 0.023044 0.413081  0.015524
    -261. 0.022467 0.410560  6.061183
    -262. 0.021946 0.408041  5.820498
    -263. 0.021501 0.405578  5.581321
    -264. 0.021132 0.403233  5.346555
    -265. 0.020851 0.401061  5.109890
    -266. 0.020703 0.399106  4.873222
    -267. 0.020563 0.397404  4.639341
    -268. 0.020562 0.395987  4.401186
    -269. 0.020689 0.394869  4.165496
    -270. 0.020798 0.394064  3.924246
    -271. 0.021050 0.393577  3.684434
    -272. 0.021398 0.393401  3.441216
    -273. 0.021712 0.393530  3.193848
    -274. 0.022184 0.393951  2.945426
    -275. 0.022617 0.394645  2.695708
    -276. 0.023163 0.395589  2.438553
    -277. 0.023666 0.396758  2.183428
    -278. 0.024234 0.398119  1.924855
    -279. 0.024845 0.399639  1.660572
    -280. 0.025407 0.401281  1.399186
    -281. 0.026003 0.403006  1.131988
    -282. 0.026658 0.404775  0.865377
    -283. 0.027233 0.406555  0.596304
    -284. 0.027834 0.408307  0.325492
    -285. 0.028476 0.410002  0.056480
    -286. 0.029043 0.411607  6.065759
    -287. 0.029637 0.413099  5.793334
    -288. 0.030191 0.414449  5.521935
    -289. 0.030771 0.415641  5.246056
    -290. 0.031280 0.416650  4.972009
    -291. 0.031775 0.417459  4.698675
    -292. 0.032300 0.418053  4.421522
    -293. 0.032731 0.418416  4.147145
    -294. 0.033150 0.418537  3.869875
    -295. 0.033583 0.418409  3.594155
    -296. 0.033957 0.418025  3.315902
    -297. 0.034269 0.417386  3.037806
    -298. 0.034645 0.416498  2.759978
    -299. 0.034891 0.415372  2.479778
    -300. 0.035193 0.414024  2.199093
    -301. 0.035395 0.412481  1.918346
    -302. 0.035620 0.410772  1.635897
    -303. 0.035828 0.408931  1.351411
    -304. 0.035931 0.407003  1.067325
    -305. 0.036089 0.405029  0.781160
    -306. 0.036233 0.403062  0.493446
    -307. 0.036241 0.401152  0.204473
    -308. 0.036378 0.399351  6.198473
    -309. 0.036400 0.397712  5.907241
    -310. 0.036418 0.396289  5.614670
    -311. 0.036439 0.395128  5.321988
    -312. 0.036410 0.394276  5.029349
    -313. 0.036409 0.393767  4.732840
    -314. 0.036318 0.393627  4.440266
    -315. 0.036257 0.393874  4.144310
    -316. 0.036191 0.394512  3.849558
    -317. 0.036043 0.395526  3.554973
    -318. 0.035905 0.396899  3.260131
    -319. 0.035806 0.398592  2.967672
    -320. 0.035579 0.400562  2.672836
    -321. 0.035415 0.402756  2.381272
    -322. 0.035202 0.405111  2.091007
    -323. 0.034979 0.407561  1.798571
    -324. 0.034733 0.410043  1.510220
    -325. 0.034447 0.412482  1.222046
    -326. 0.034212 0.414812  0.933032
    -327. 0.033867 0.416972  0.647276
    -328. 0.033554 0.418892  0.360078
    -329. 0.033241 0.420520  0.074872
    -330. 0.032868 0.421811  6.072521
    -331. 0.032477 0.422720  5.785745
    -332. 0.032109 0.423221  5.502982
    -333. 0.031691 0.423298  5.214802
    -334. 0.031251 0.422937  4.929383
    -335. 0.030795 0.422149  4.643265
    -336. 0.030333 0.420948  4.354931
    -337. 0.029858 0.419359  4.065580
    -338. 0.029270 0.417422  3.776265
    -339. 0.028811 0.415185  3.484305
    -340. 0.028215 0.412699  3.190464
    -341. 0.027606 0.410034  2.895266
    -342. 0.027039 0.407257  2.598479
    -343. 0.026397 0.404441  2.298996
    -344. 0.025727 0.401667  1.996515
    -345. 0.025086 0.399011  1.694354
    -346. 0.024359 0.396545  1.388309
    -347. 0.023692 0.394350  1.079755
    -348. 0.022906 0.392485  0.770947
    -349. 0.022182 0.391006  0.460013
    -350. 0.021445 0.389964  0.145816
    -351. 0.020598 0.389384  6.115978
    -352. 0.019834 0.389280  5.799077
    -353. 0.019023 0.389660  5.485208
    -354. 0.018161 0.390499  5.163997
    -355. 0.017327 0.391768  4.848097
    -356. 0.016469 0.393427  4.529507
    -357. 0.015601 0.395418  4.206252
    -358. 0.014723 0.397681  3.887828
    -359. 0.013802 0.400152  3.564602
    -360. 0.012987 0.402762  3.239578
    -361. 0.012031 0.405442  2.912985
    -362. 0.011160 0.408130  2.581918
    -363. 0.010315 0.410755  2.249529
    -364. 0.009421 0.413264  1.906708
    -365. 0.008607 0.415601  1.557006
    -366. 0.007766 0.417712  1.207200
    -367. 0.007047 0.419558  0.830400
    -368. 0.006290 0.421106  0.444160
    -369. 0.005604 0.422324  0.045460
    -370. 0.005100 0.423199  5.891109
    -371. 0.004592 0.423720  5.434585
    -372. 0.004298 0.423886  4.939092
    -373. 0.004155 0.423706  4.440223
    -374. 0.004219 0.423195  3.928678
    -375. 0.004480 0.422368  3.429708
    -376. 0.004816 0.421255  2.970309
    -377. 0.005334 0.419879  2.529545
    -378. 0.005904 0.418268  2.126934
    -379. 0.006494 0.416461  1.728411
    -380. 0.007124 0.414488  1.363758
    -381. 0.007766 0.412385  1.005382
    -382. 0.008425 0.410193  0.649493
    -383. 0.009049 0.407953  0.310017
    -384. 0.009630 0.405703  6.255352
    -385. 0.010319 0.403491  5.921328
    -386. 0.010825 0.401359  5.589174
    -387. 0.011403 0.399346  5.261749
    -388. 0.011948 0.397496  4.936454
    -389. 0.012414 0.395845  4.608868
    -390. 0.012893 0.394422  4.283153
    -391. 0.013299 0.393259  3.963083
    -392. 0.013717 0.392377  3.634704
    -393. 0.014090 0.391791  3.313242
    -394. 0.014383 0.391513  2.990042
    -395. 0.014746 0.391550  2.668941
    -396. 0.015013 0.391897  2.346165
    -397. 0.015211 0.392558  2.025961
    -398. 0.015498 0.393519  1.707892
    -399. 0.015633 0.394763  1.388732
    -400. 0.015810 0.396273  1.070314
    -401. 0.015906 0.398021  0.756988
    -402. 0.016003 0.399970  0.441685
    -403. 0.016067 0.402084  0.125838
    -404. 0.016040 0.404319  6.100828
    -405. 0.016059 0.406622  5.787054
    -406. 0.016007 0.408948  5.478708
    -407. 0.015899 0.411247  5.169412
    -408. 0.015795 0.413464  4.860642
    -409. 0.015664 0.415557  4.556502
    -410. 0.015480 0.417481  4.244446
    -411. 0.015279 0.419194  3.941894
    -412. 0.015056 0.420661  3.635882
    -413. 0.014836 0.421848  3.326282
    -414. 0.014537 0.422726  3.022627
    -415. 0.014242 0.423273  2.716104
    -416. 0.014000 0.423473  2.407081
    -417. 0.013590 0.423312  2.100122
    -418. 0.013295 0.422792  1.790062
    -419. 0.012937 0.421912  1.481573
    -420. 0.012557 0.420688  1.166282
    -421. 0.012165 0.419147  0.851704
    -422. 0.011771 0.417316  0.539227
    -423. 0.011374 0.415234  0.212720
    -424. 0.010964 0.412956  6.176562
    -425. 0.010514 0.410527  5.847461
    -426. 0.010139 0.408012  5.516727
    -427. 0.009707 0.405475  5.178927
    -428. 0.009267 0.402976  4.835451
    -429. 0.008910 0.400584  4.490894
    -430. 0.008511 0.398367  4.133240
    -431. 0.008154 0.396377  3.767416
    -432. 0.007805 0.394679  3.408297
    -433. 0.007545 0.393320  3.024281
    -434. 0.007277 0.392336  2.643094
    -435. 0.007052 0.391760  2.255880
    -436. 0.006910 0.391608  1.857452
    -437. 0.006846 0.391880  1.464071
    -438. 0.006780 0.392568  1.051625
    -439. 0.006849 0.393648  0.659513
    -440. 0.006968 0.395078  0.257086
    -441. 0.007170 0.396817  6.141058
    -442. 0.007413 0.398805  5.757136
    -443. 0.007711 0.400974  5.373584
    -444. 0.008155 0.403265  5.002038
    -445. 0.008512 0.405606  4.633670
    -446. 0.009001 0.407926  4.278121
    -447. 0.009539 0.410171  3.931583
    -448. 0.010049 0.412276  3.582993
    -449. 0.010646 0.414189  3.249487
    -450. 0.011225 0.415869  2.920465
    -451. 0.011891 0.417276  2.590452
    -452. 0.012507 0.418377  2.271723
    -453. 0.013161 0.419156  1.952938
    -454. 0.013872 0.419594  1.637411
    -455. 0.014539 0.419687  1.326991
    -456. 0.015229 0.419444  1.012142
    -457. 0.015947 0.418873  0.708548
    -458. 0.016674 0.417999  0.396920
    -459. 0.017375 0.416854  0.089891
    -460. 0.018110 0.415471  6.068957
    -461. 0.018842 0.413895  5.760968
    -462. 0.019610 0.412175  5.455461
    -463. 0.020275 0.410358  5.149927
    -464. 0.021075 0.408494  4.844416
    -465. 0.021796 0.406637  4.537731
    -466. 0.022478 0.404833  4.231243
    -467. 0.023235 0.403132  3.925674
    -468. 0.023938 0.401576  3.618482
    -469. 0.024606 0.400202  3.309662
    -470. 0.025313 0.399046  3.004090
    -471. 0.025949 0.398132  2.695439
    -472. 0.026655 0.397481  2.387184
    -473. 0.027246 0.397103  2.079125
    -474. 0.027877 0.397004  1.772293
    -475. 0.028550 0.397176  1.463795
    -476. 0.029054 0.397609  1.157558
    -477. 0.029680 0.398281  0.850662
    -478. 0.030216 0.399170  0.546224
    -479. 0.030718 0.400244  0.239559
    -480. 0.031215 0.401472  6.219300
    -481. 0.031672 0.402815  5.916578
    -482. 0.032126 0.404243  5.611792
    -483. 0.032522 0.405714  5.311319
    -484. 0.032866 0.407198  5.009605
    -485. 0.033286 0.408661  4.709214
    -486. 0.033548 0.410075  4.409893
    -487. 0.033827 0.411410  4.110844
    -488. 0.034108 0.412643  3.813949
    -489. 0.034273 0.413747  3.515775
    -490. 0.034463 0.414704  3.218827
    -491. 0.034554 0.415496  2.924377
    -492. 0.034679 0.416108  2.627281
    -493. 0.034694 0.416526  2.331735
    -494. 0.034669 0.416742  2.038568
    -495. 0.034685 0.416752  1.741825
    -496. 0.034556 0.416554  1.448580
    -497. 0.034435 0.416152  1.153471
    -498. 0.034277 0.415552  0.859796
    -499. 0.034077 0.414763  0.565582
    -500. 0.033783 0.413798  0.270379
    -501. 0.033525 0.412672  6.260905
    -502. 0.033170 0.411399  5.965795
    -503. 0.032812 0.410003  5.671134
    -504. 0.032366 0.408501  5.377889
    -505. 0.031926 0.406922  5.083225
    -506. 0.031454 0.405296  4.788407
    -507. 0.030878 0.403653  4.495124
    -508. 0.030315 0.402033  4.200635
    -509. 0.029747 0.400475  3.907445
    -510. 0.029028 0.399019  3.612350
    -511. 0.028396 0.397706  3.320666
    -512. 0.027682 0.396574  3.027408
    -513. 0.026921 0.395657  2.734589
    -514. 0.026188 0.394985  2.444291
    -515. 0.025355 0.394585  2.155522
    -516. 0.024603 0.394471  1.865134
    -517. 0.023719 0.394657  1.580712
    -518. 0.022876 0.395145  1.295964
    -519. 0.022067 0.395931  1.014427
    -520. 0.021153 0.397006  0.735331
    -521. 0.020282 0.398352  0.460368
    -522. 0.019485 0.399940  0.190742
    -523. 0.018570 0.401741  6.204948
    -524. 0.017773 0.403718  5.945138
    -525. 0.016948 0.405820  5.691409
    -526. 0.016170 0.408003  5.440130
    -527. 0.015427 0.410211  5.199234
    -528. 0.014703 0.412388  4.967899
    -529. 0.014100 0.414480  4.737278
    -530. 0.013491 0.416433  4.522311
    -531. 0.013001 0.418193  4.311012
    -532. 0.012629 0.419720  4.106919
    -533. 0.012337 0.420973  3.911642
    -534. 0.012126 0.421918  3.715492
    -535. 0.012144 0.422536  3.530325
    -536. 0.012181 0.422809  3.336580
    -537. 0.012365 0.422726  3.144785
    -538. 0.012715 0.422294  2.951562
    -539. 0.013098 0.421511  2.747322
    -540. 0.013606 0.420394  2.537311
    -541. 0.014194 0.418965  2.326612
    -542. 0.014847 0.417248  2.097742
    -543. 0.015555 0.415283  1.869590
    -544. 0.016292 0.413113  1.632369
    -545. 0.017110 0.410785  1.387095
    -546. 0.017947 0.408358  1.137235
    -547. 0.018740 0.405896  0.882647
    -548. 0.019676 0.403456  0.621860
    -549. 0.020519 0.401106  0.358113
    -550. 0.021392 0.398910  0.088432
    -551. 0.022291 0.396918  6.101592
    -552. 0.023178 0.395184  5.825978
    -553. 0.024030 0.393753  5.547006
    -554. 0.024918 0.392652  5.269466
    -555. 0.025771 0.391909  4.986593
    -556. 0.026649 0.391540  4.702368
    -557. 0.027446 0.391541  4.419850
    -558. 0.028318 0.391912  4.133661
    -559. 0.029129 0.392637  3.847409
    -560. 0.029917 0.393685  3.562393
    -561. 0.030718 0.395029  3.274912
    -562. 0.031524 0.396627  2.990423
    -563. 0.032256 0.398430  2.702439
    -564. 0.033026 0.400392  2.418516
    -565. 0.033786 0.402462  2.133552
    -566. 0.034492 0.404583  1.847567
    -567. 0.035230 0.406711  1.565046
    -568. 0.035899 0.408794  1.281676
    -569. 0.036646 0.410786  0.997669
    -570. 0.037268 0.412650  0.715895
    -571. 0.037929 0.414353  0.434033
    -572. 0.038648 0.415862  0.151816
    -573. 0.039195 0.417159  6.153633
    -574. 0.039850 0.418224  5.872149
    -575. 0.040462 0.419042  5.591744
    -576. 0.041003 0.419609  5.309281
    -577. 0.041584 0.419920  5.028447
    -578. 0.042101 0.419974  4.747382
    -579. 0.042608 0.419778  4.464015
    -580. 0.043117 0.419343  4.182309
    -581. 0.043513 0.418677  3.898762
    -582. 0.044037 0.417803  3.615148
    -583. 0.044397 0.416739  3.329837
    -584. 0.044779 0.415510  3.044785
    -585. 0.045208 0.414143  2.758543
    -586. 0.045502 0.412667  2.471263
    -587. 0.045851 0.411109  2.182514
    -588. 0.046134 0.409499  1.895098
    -589. 0.046422 0.407868  1.604255
    -590. 0.046643 0.406242  1.313750
    -591. 0.046831 0.404651  1.023119
    -592. 0.047032 0.403124  0.730226
    -593. 0.047161 0.401687  0.437241
    -594. 0.047222 0.400371  0.143806
    -595. 0.047327 0.399201  6.132206
    -596. 0.047328 0.398203  5.837508
    -597. 0.047305 0.397401  5.540930
    -598. 0.047231 0.396812  5.245581
    -599. 0.047166 0.396450  4.949067
    -600. 0.046970 0.396325  4.650671
    -601. 0.046809 0.396438  4.355332
    -602. 0.046570 0.396783  4.057073
    -603. 0.046320 0.397356  3.759921
    -604. 0.045991 0.398141  3.463304
    -605. 0.045640 0.399118  3.166752
    -606. 0.045305 0.400269  2.870651
    -607. 0.044800 0.401564  2.575207
    -608. 0.044374 0.402978  2.280361
    -609. 0.043867 0.404480  1.987238
    -610. 0.043282 0.406032  1.693175
    -611. 0.042713 0.407600  1.401675
    -612. 0.042048 0.409146  1.111441
    -613. 0.041396 0.410632  0.820134
    -614. 0.040652 0.412021  0.532516
    -615. 0.039848 0.413279  0.244625
    -616. 0.039100 0.414371  6.241135
    -617. 0.038186 0.415273  5.955449
    -618. 0.037263 0.415961  5.670908
    -619. 0.036408 0.416418  5.387914
    -620. 0.035336 0.416634  5.103776
    -621. 0.034378 0.416609  4.822542
    -622. 0.033324 0.416341  4.541830
    -623. 0.032267 0.415842  4.260991
    -624. 0.031190 0.415126  3.981136
    -625. 0.030048 0.414209  3.704895
    -626. 0.028987 0.413116  3.425846
    -627. 0.027824 0.411876  3.151306
    -628. 0.026671 0.410515  2.876660
    -629. 0.025576 0.409074  2.604573
    -630. 0.024426 0.407588  2.334237
    -631. 0.023278 0.406099  2.066067
    -632. 0.022210 0.404652  1.802861
    -633. 0.021105 0.403290  1.541726
    -634. 0.020044 0.402050  1.283407
    -635. 0.019014 0.400975  1.036173
    -636. 0.018051 0.400094  0.787489
    -637. 0.017112 0.399430  0.548988
    -638. 0.016264 0.399004  0.318953
    -639. 0.015478 0.398819  0.092643
    -640. 0.014870 0.398878  6.159799
    -641. 0.014251 0.399176  5.950200
    -642. 0.013900 0.399696  5.747748
    -643. 0.013640 0.400421  5.548965
    -644. 0.013490 0.401328  5.352672
    -645. 0.013577 0.402388  5.158544
    -646. 0.013787 0.403570  4.961119
    -647. 0.014073 0.404842  4.756128
    -648. 0.014590 0.406166  4.552172
    -649. 0.015138 0.407503  4.335695
    -650. 0.015796 0.408816  4.112493
    -651. 0.016545 0.410068  3.885964
    -652. 0.017331 0.411224  3.650285
    -653. 0.018206 0.412252  3.406201
    -654. 0.019046 0.413126  3.162161
    -655. 0.019985 0.413827  2.908947
    -656. 0.020917 0.414340  2.652468
    -657. 0.021825 0.414654  2.393914
    -658. 0.022759 0.414769  2.128939
    -659. 0.023720 0.414687  1.865483
    -660. 0.024592 0.414414  1.593822
    -661. 0.025489 0.413962  1.324242
    -662. 0.026398 0.413344  1.051433
    -663. 0.027204 0.412575  0.773670
    -664. 0.028051 0.411676  0.497847
    -665. 0.028815 0.410667  0.218864
    -666. 0.029623 0.409570  6.219061
    -667. 0.030309 0.408411  5.938202
    -668. 0.031014 0.407212  5.653278
    -669. 0.031723 0.406004  5.367642
    -670. 0.032327 0.404814  5.080834
    -671. 0.032925 0.403668  4.791820
    -672. 0.033565 0.402593  4.504099
    -673. 0.034069 0.401617  4.212019
    -674. 0.034632 0.400757  3.921371
    -675. 0.035111 0.400034  3.630639
    -676. 0.035614 0.399463  3.337342
    -677. 0.036045 0.399053  3.044470
    -678. 0.036420 0.398813  2.752726
    -679. 0.036866 0.398748  2.457998
    -680. 0.037170 0.398860  2.165169
    -681. 0.037466 0.399149  1.871172
    -682. 0.037805 0.399611  1.577848
    -683. 0.038021 0.400242  1.283408
    -684. 0.038241 0.401033  0.990064
    -685. 0.038456 0.401971  0.696825
    -686. 0.038583 0.403038  0.403489
    -687. 0.038759 0.404215  0.109702
    -688. 0.038799 0.405479  6.101128
    -689. 0.038914 0.406802  5.808465
    -690. 0.038960 0.408160  5.515410
    -691. 0.038942 0.409523  5.224581
    -692. 0.038974 0.410863  4.932289
    -693. 0.038963 0.412154  4.641734
    -694. 0.038883 0.413371  4.349825
    -695. 0.038831 0.414486  4.060302
    -696. 0.038775 0.415477  3.770468
    -697. 0.038615 0.416321  3.478941
    -698. 0.038501 0.416995  3.191387
    -699. 0.038327 0.417481  2.900921
